statename;statecode;region;division
"Alaska";"AK";"West";"Pacific"
"Florida";"FL";"South";"South Atlantic"
"Iowa";"IA";"Midwest";"West North Central"
"Indiana";"IN";"Midwest";"East North Central"
"Massachusetts";"MA";"Northeast";"New England"
"Michigan";"MI";"Midwest";"East North Central"
"North Dakota";"ND";"Midwest";"West North Central"
"New Hampshire";"NH";"Northeast";"New England"
"Ohio";"OH";"Midwest";"East North Central"
"Oregon";"OR";"West";"Pacific"
"Tennessee";"TN";"South";"East South Central"
"Virginia";"VA";"South";"South Atlantic"
"Wyoming";"WY";"West";"Mountain"
"Alabama";"AL";"South";"East South Central"
"Arkansas";"AR";"South";"West South Central"
"Arizona";"AZ";"West";"Mountain"
"California";"CA";"West";"Pacific"
"Kansas";"KS";"Midwest";"West North Central"
"Louisiana";"LA";"South";"West South Central"
"Maine";"ME";"Northeast";"New England"
"Minnesota";"MN";"Midwest";"West North Central"
"Missouri";"MO";"Midwest";"West North Central"
"New Jersey";"NJ";"Northeast";"Middle Atlantic"
"New Mexico";"NM";"West";"Mountain"
"New York";"NY";"Northeast";"Middle Atlantic"
"Pennsylvania";"PA";"Northeast";"Middle Atlantic"
"South Dakota";"SD";"Midwest";"West North Central"
"Washington";"WA";"West";"Pacific"
"Wisconsin";"WI";"Midwest";"East North Central"
"West Virginia";"WV";"South";"South Atlantic"
"Colorado";"CO";"West";"Mountain"
"Connecticut";"CT";"Northeast";"New England"
"District of Columbia";"DC";"South";"South Atlantic"
"Delaware";"DE";"South";"South Atlantic"
"Georgia";"GA";"South";"South Atlantic"
"Hawaii";"HI";"West";"Pacific"
"Idaho";"ID";"West";"Mountain"
"Illinois";"IL";"Midwest";"East North Central"
"Kentucky";"KY";"South";"East South Central"
"Maryland";"MD";"South";"South Atlantic"
"Mississippi";"MS";"South";"East South Central"
"Montana";"MT";"West";"Mountain"
"North Carolina";"NC";"South";"South Atlantic"
"Nebraska";"NE";"Midwest";"West North Central"
"Nevada";"NV";"West";"Mountain"
"Oklahoma";"OK";"South";"West South Central"
"Rhode Island";"RI";"Northeast";"New England"
"South Carolina";"SC";"South";"South Atlantic"
"Texas";"TX";"South";"West South Central"
"Utah";"UT";"West";"Mountain"
"Vermont";"VT";"Northeast";"New England"
